cell,size
1021,453
1022,471
1023,472
1024,444
1025,440
1026,464
1027,475
1028,494
1029,477
1030,454
1031,460
1032,451
1033,454
1034,478
1035,427
1036,456
1037,486
1038,460
1039,439
1040,431
1041,462
1042,455
1043,421
1044,441
1045,475
1046,451
1047,424
1048,419
1049,442
1050,441
1051,488
1052,434
1053,432
1054,483
1055,476
1056,488
1057,433
1058,447
1059,477
1060,429
1061,473
1062,458
1063,476
1064,473
1065,446
1066,460
1067,496
1068,441
1069,431
1070,473
1071,495
1072,447
1073,446
1074,469
1075,479
1076,452
1077,459
1078,433
1079,508
1080,473
1081,480
1082,429
1083,457
1084,496
1085,420
1086,441
1087,467
1088,466
1089,452
1090,483
1091,425
1092,451
1093,425
1094,460
1095,433
1096,479
1097,456
1098,456
1099,466
1100,467
1101,434
1102,473
1103,443
1104,466
1105,457
1106,476
1107,453
1108,430
1109,481
1110,439
1111,460
1112,425
1113,489
1114,485
1115,448
1116,499
1117,454
1118,438
1119,470
1120,470
1121,466
1122,482
1123,438
1124,463
1125,456
1126,465
1127,440
1128,440
1129,442
1130,508
1131,485
1132,478
1133,452
1134,442
1135,458
1136,472
1137,438
1138,432
1139,484
1140,497
1141,485
1142,481
1143,474
1144,430
1145,451
1146,519
1147,455
1148,422
1149,453
1150,490
1151,462
1152,453
1153,456
1154,462
1155,462
1156,447
1157,469
1158,438
1159,470
1160,462
1161,474
1162,433
1163,473
1164,445
1165,464
1166,462
1167,460
1168,446
1169,465
1170,480
1171,475
1172,493
1173,477
1174,456
1175,448
1176,465
1177,446
1178,496
1179,464
1180,496
1181,457
1182,452
1183,471
1184,479
1185,446
1186,463
1187,481
1188,470
1189,481
1190,442
1191,502
1192,470
1193,457
1194,500
1195,446
1196,504
1197,473
1198,430
1199,492
1200,443
1201,476
1202,433
1203,473
1204,485
1205,502
1206,442
1207,468
1208,477
1209,513
1210,445
1211,451
1212,452
1213,484
1214,443
1215,475
1216,460
1217,488
1218,477
1219,464
1220,412
1221,459
1222,457
1223,473
1224,446
1225,442
1226,457
1227,446
1228,482
1229,476
1230,459
1231,489
1232,432
1233,468
1234,486
1235,475
1236,461
1237,431
1238,469
1239,476
1240,436
1241,469
1242,468
1243,451
1244,438
1245,500
1246,457
1247,478
1248,441
1249,485
1250,444
1251,470
1252,523
1253,453
1254,462
1255,433
1256,417
1257,469
1258,473
1259,435
1260,448
1261,469
1262,447
1263,494
1264,460
1265,490
1266,479
1267,465
1268,486
1269,423
1270,464
1271,438
1272,466
1273,483
1274,465
1275,438
1276,434
1277,482
1278,431
1279,483
1280,421
1281,455
1282,439
1283,449
1284,476
1285,440
1286,458
1287,432
1288,471
1289,496
1290,479
1291,491
1292,463
1293,471
1294,490
1295,491
1296,461
1297,420
1298,457
1299,456
1300,470
1301,440
1302,473
1303,477
1304,430
1305,459
1306,462
1307,486
1308,491
1309,466
1310,432
1311,457
1312,441
1313,461
1314,468
1315,460
1316,473
1317,474
1318,454
1319,447
1320,468
1321,458
1322,448
1323,475
1324,496
1325,472
1326,440
1327,475
1328,456
1329,450
1330,477
1331,456
1332,448
1333,484
1334,427
1335,438
1336,441
1337,411
1338,476
1339,459
1340,497
1341,486
1342,467
1343,473
1344,450
1345,490
1346,511
1347,409
1348,458
1349,507
1350,428
1351,473
1352,451
1353,505
1354,498
1355,435
1356,474
1357,470
1358,470
1359,456
1360,469
1361,434
1362,481
1363,473
1364,458
1365,439
1366,491
1367,453
1368,444
1369,440
1370,452
1371,474
1372,472
1373,462
1374,472
1375,494
1376,450
1377,441
1378,482
1379,487
1380,510
1381,419
1382,464
1383,423
1384,446
1385,425
1386,458
1387,493
1388,455
1389,427
1390,471
1391,463
1392,488
1393,497
1394,454
1395,463
1396,478
1397,460
1398,451
1399,471
1400,445
1401,484
1402,438
1403,473
1404,469
1405,452
1406,427
1407,473
1408,470
1409,456
1410,463
1411,492
1412,442
1413,484
1414,491
1415,434
1416,503
1417,445
1418,443
1419,436
1420,430
1421,474
1422,434
1423,467
1424,461
1425,495
1426,469
1427,475
1428,427
1429,476
1430,451
1431,458
1432,490
1433,477
1434,487
1435,452
1436,427
1437,448
1438,475
1439,468
1440,425
1441,445
1442,474
1443,462
1444,445
1445,477
1446,467
1447,476
1448,453
1449,481
1450,450
1451,472
1452,476
1453,443
1454,489
1455,478
1456,462
1457,422
1458,460
1459,473
1460,442
1461,472
1462,453
1463,461
1464,473
1465,454
1466,457
1467,483
1468,486
1469,475
1470,431
1471,472
1472,481
1473,477
1474,447
1475,482
1476,470
1477,436
1478,463
1479,452
1480,448
1481,459
1482,427
1483,459
1484,466
1485,455
1486,484
1487,412
1488,477
1489,485
1490,456
1491,467
1492,489
1493,491
1494,450
1495,464
1496,452
1497,493
1498,474
1499,466
1500,490
1501,477
1502,447
1503,458
1504,448
1505,482
1506,487
1507,475
1508,502
1509,450
1510,478
1511,512
1512,434
1513,472
1514,415
1515,432
1516,453
1517,473
1518,463
1519,469
1520,456
1521,441
1522,456
1523,499
1524,458
1525,464
1526,444
1527,486
1528,459
1529,489
1530,432
1531,461
1532,450
1533,468
1534,462
1535,464
1536,449
1537,447
1538,458
1539,476
1540,460
1541,437
1542,464
1543,435
1544,474
1545,464
1546,472
1547,495
1548,454
1549,475
1550,468
1551,463
1552,455
1553,475
1554,490
1555,440
1556,471
1557,459
1558,488
1559,429
1560,458
1561,473
1562,466
1563,473
1564,483
1565,449
1566,442
1567,448
1568,462
1569,455
1570,481
1571,474
1572,446
1573,417
1574,440
1575,508
1576,461
1577,481
1578,446
1579,472
1580,476
1581,466
1582,440
1583,465
1584,477
1585,455
1586,490
1587,416
1588,462
1589,483
1590,466
1591,488
1592,457
1593,416
1594,477
1595,469
1596,462
1597,472
1598,439
1599,457
1600,448
1601,426
1602,450
1603,490
1604,450
1605,485
1606,488
1607,431
1608,474
1609,481
1610,454
1611,486
1612,502
1613,518
1614,459
1615,441
1616,425
1617,467
1618,483
1619,428
1620,470
1621,467
1622,456
1623,448
1624,464
1625,452
1626,440
1627,474
1628,447
1629,451
1630,468
1631,463
1632,460
1633,448
1634,430
1635,469
1636,472
1637,480
1638,465
1639,467
1640,471
1641,490
1642,474
1643,468
1644,444
1645,421
1646,444
1647,436
1648,446
1649,451
1650,441
1651,402
1652,497
1653,436
1654,444
1655,488
1656,484
1657,440
1658,422
1659,452
1660,464
1661,472
1662,445
1663,437
1664,485
1665,454
1666,450
1667,493
1668,443
1669,467
1670,478
1671,455
1672,481
1673,466
1674,464
1675,454
1676,425
1677,467
1678,425
1679,447
1680,438
1681,484
1682,446
1683,439
1684,479
1685,471
1686,424
1687,475
1688,449
1689,487
1690,464
1691,473
1692,435
1693,447
